race;stage;rider;
;;Garrison Michael;
;;Cantoni Andrea;
;2;Szymacha Kamil;race/orlen-nations-grand-prix/2021
;;Gonov Lev;
;;Schmidbauer Maximillian;
;;Sogaard Kasper Viberg;
;4;Paterski Maciej;race/tour-de-hongrie/2021
;;Kurek Adrian;
;;Rikunov Petr;
;;De Wilde Gilles;
;5;Warlop Jordi;
;;Grabis Mateusz;
;;Fetter Erik;
;;Boaro Manuele;
;2;Kamp Alexander;
;;Pelikan Janos;
;;Sevilla Diego Pablo;
;;Bernas Pawel;
;;Paterski Maciej;
;;Onesti Emanuele;
giro-ditalia-2018;2;Ballerini Davide;race/giro-d-italia/2018
;;Bak Lars Ytting;
;;Boivin Guillaume;
;3;Boivin Guillaume;
;;Barbin Enrico;
;;Frapporti Marco;
;4;Barbin Enrico;
;;Jauregui Quentin;
;;Frapporti Marco;
;;Mosca Jacopo;
;;Belkov Maxim;
;5;Mullen Ryan;
;;Vendrame Andrea;
;;Zhupa Eugert;
;;Didier Laurent;
;6;Henao Sergio;
;;Haig Jack;
;;Chaves Esteban;
;;Haga Chad;
;;Oomen Sam;
;;Tonelli Alessandro;
;;Ciccone Giulio;
;;Cherel Mikael;
;;Jauregui Quentin;
;;Denz Nico;
;;De La Cruz David;
;;Frapporti Marco;
;;Gavazzi Francesco;
;;Polanc Jan;
;;Ulissi Diego;
;;Mori Manuele;
;;Dombrowski Joe;
;;Zardini Edoardo;
;;Gesink Robert;
;;Hermans Ben;
;;Plaza Ruben;
;;Reichenbach Sebastien;
;;Roy Jeremy;
;;Eg Niklas;
;;Quintana Dayer;
;;De Marchi Alessandro;
;8;Villella Davide;
;;Montaguti Matteo;
;;Torres Rodolfo;
;;Mohoric Matej;
;;Van Der Sande Tosh;
;;Bouwman Koen;
;;Polanc Jan;
;9;Brambilla Gianluca;
;;Carthy Hugh;
;;Wellens Tim;
;;Visconti Giovanni;
;;Ballerini Davide;
;;Masnada Fausto;
;;Boaro Manuele;
;;Andreetta Simone;
;;Benedetti Cesare;
;;Berhane Natnael;
;;Belkov Maxim;
;;Didier Laurent;
;;Turrin Alex;
;10;Ciccone Giulio;
;;Sanchez Luis Leon;
;;Bouwman Koen;
;;Pantano Jarlinson;
;;Martin Tony;
;;Conti Valerio;
;;Mohoric Matej;
;;Montaguti Matteo;
;;King Ben;
;;Hermans Ben;
;;Neilands Krists;
;;Ballerini Davide;
;;Wurtz Schmidt Mads;
;;Pedersen Mads;
;;Mosca Jacopo;
;;Fernandez Ruben;
;;Scully Tom;
;11;De Marchi Alessandro;
;;Maestri Mirco;
;;Masnada Fausto;
;;Sanchez Luis Leon;
;;Turrin Alex;
;12;Maestri Mirco;
;;Zhupa Eugert;
;;Senni Manuel;
;;Mosca Jacopo;
;;Frapporti Marco;
;13;Irizar Markel;
;;Marcato Marco;
;;Tonelli Alessandro;
;;Vendrame Andrea;
;;Zhupa Eugert;
;14;Conti Valerio;
;;Pedersen Mads;
;;Gavazzi Francesco;
;;Didier Laurent;
;;Mosca Jacopo;
;;Barbin Enrico;
;;Montaguti Matteo;
;15;Jauregui Quentin;
;;Ciccone Giulio;
;;De Marchi Alessandro;
;;Visconti Giovanni;
;;Quintana Dayer;
;;Ulissi Diego;
;;Denz Nico;
;;Cherel Mikael;
;;Neilands Krists;
;;Stybar Zdenek;
;;Modolo Sacha;
;;Ladagnous Matthieu;
;;Ballerini Davide;
;;Mori Manuele;
;17;De Marchi Alessandro;
;;Hermans Ben;
;;Poels Wout;
;;Sanchez Luis Leon;
;;Frapporti Marco;
;;Atapuma Darwin;
;;Fonzi Giuseppe;
;;Bak Lars Ytting;
;;Ballerini Davide;
;;Belkov Maxim;
;;Maestri Mirco;
;18;Ballerini Davide;
;;Cattaneo Mattia;
;;Fonzi Giuseppe;
;;Kuznetsov Viacheslav;
;;Marcato Marco;
;;Morkov Michael;
;;Pfingsten Christoph;
;;Schachmann Maximilian;
;;Plaza Ruben;
;;Turrin Alex;
;;Van Emden Jos;
;;Van Poppel Boy;
;19;Neilands Krists;
;;Brown Nathan;
;;Sanchez Luis Leon;
;;Torres Rodolfo;
;;Montaguti Matteo;
;;Van Poppel Danny;
;;Bouwman Koen;
;;Atapuma Darwin;
;;Conti Valerio;
;20;Nieve Mikel;
;;Viviani Elia;
;;Ciccone Giulio;
;;Woods Michael;
;;Mohoric Matej;
;;Visconti Giovanni;
;;Conti Valerio;
;;Gro?Schartner Felix;
;;Gesink Robert;
;;Kreuziger Roman;
;;Brambilla Gianluca;
;;Bouwman Koen;
;;Frapporti Marco;
;;Ladagnous Matthieu;
;;Schwarzmann Michael;
;;Barbin Enrico;
;;Gavazzi Francesco;
;;Mosca Jacopo;
;;Lindeman Bert Jan;
;;Morabito Steve;
;;Lammertink Maurits;
;;Laengen Vegard Stake;
;;Martin Tony;
;;Woods Michael;
;;Montaguti Matteo;
;;Ballerini Davide;
;21;Ballerini Davide;
;;Juul-Jensen Christopher;
;;Lutsenko Alexey;
;;Kuznetsov Viacheslav;
;;Neilands Krists;
criterium-du-dauphine-2018;1;Edet Nicolas;race/dauphine/2018
;;Feillu Brice;
;;Craddock Lawson;
;2;Duchesne Antoine;
;;Perichon Pierre-Luc;
;;Stalnov Nikita;
;;Backaert Frederik;
;4;Eiking Odd Christian;
;;Boasson Hagen Edvald;
;;Clarke Simon;
;;Coquard Bryan;
;;Courteille Arnaud;
;;Keukeleire Jens;
;;Cataldo Dario;
;;Postlberger Lukas;
;5;Cataldo Dario;
;;De Plus Laurens;
;;Edet Nicolas;
;;Fabbro Matteo;
;;Verona Carlos;
;;De Gendt Thomas;
;;Gougeard Alexis;
;;Armirail Bruno;
;;Ravasi Edward;
;6;Barguil Warren;
;;De Gendt Thomas;
;;Bilbao Pello;
;;Houle Hugo;
;;Gougeard Alexis;
;;Carretero Hector;
;;Serry Pieter;
;;Molard Rudy;
;;Power Robert;
;;Verona Carlos;
;;Moinard Amael;
;;Craddock Lawson;
;;Degand Thomas;
;;Cataldo Dario;
;;Powless Neilson;
;;Courteille Arnaud;
;;Postlberger Lukas;
;;Conti Valerio;
;;Bookwalter Brent;
;;Boswell Ian;
;;Pauwels Serge;
;;Grmay Tsgabu;
;;Hardy Romain;
;;Domont Axel;
;;Kozhatayev Bakhtiyar;
;;Kochetkov Pavel;
;;Herrada Jesus;
;7;Gaudu David;
;;Ravasi Edward;
;;Tolhoek Antwan;
;;Alaphilippe Julian;
;;Rolland Pierre;
;;Navarro Daniel;
tour-de-suisse-2018;2;Watson Calvin;race/tour-de-suisse/2018
;;Zaccanti Filippo;
;;Quemeneur Perrig;
;;Albasini Michael;
;3;Watson Calvin;
;;Zaccanti Filippo;
;;Grellier Fabien;
;;Juul-Jensen Christopher;
;4;Juul-Jensen Christopher;
;;Dillier Silvan;
;;Peters Nans;
;;Ourselin Paul;
;;Christian Mark;
;;Brown Nathan;
;5;Dillier Silvan;
;;Oss Daniel;
;;Stuyven Jasper;
;;Ourselin Paul;
;;Smit Willie;
;;Warbasse Larry;
;6;Izagirre Gorka;
;;Kragh Andersen Soren;
;;Konrad Patrick;
;;Wynants Maarten;
;;Gogl Michael;
;;Vanmarcke Sep;
;;Monfort Maxime;
;;Taaramae Rein;
;;Golas Michal;
;;Cort Magnus;
;;Christian Mark;
;;Quemeneur Perrig;
;;Polanc Jan;
;;Declercq Tim;
;;Haas Nathan;
;;Gautier Cyril;
;;Dougall Nicholas;
;;Keisse Iljo;
;7;Christian Mark;
;;Matthews Michael;
;;Dunbar Eddie;
;;Bouwman Koen;
;;Van Avermaet Greg;
;;Lampaert Yves;
;;Goncalves Jose;
;;Albasini Michael;
;;Geschke Simon;
;;Dillier Silvan;
;;Gautier Cyril;
;;Bidard Francois;
;;Gatto Oscar;
;;Leezer Tom;
;;Koning Peter;
;;Kangert Tanel;
;;Izagirre Gorka;
;;Koren Kristijan;
;;Muhlberger Gregor;
;;Bernard Julien;
;;De La Parte Victor;
;;Anton Igor;
;;Dombrowski Joe;
;;Battaglin Enrico;
;;Polanc Jan;
;;Swift Ben;
;;Denifl Stefan;
;;Calmejane Lilian;
;;Sicard Romain;
;;Taaramae Rein;
;8;Dunbar Eddie;
;;Smit Willie;
;;Brown Nathan;
;;Ourselin Paul;
NA;1;Lastra Jonathan;race/itzulia-basque-country/2018
;;Gonzalez Prieto Aitor;
;;Ghebreigzabhier Amanuel;
;;Salas Ibai;
;;De Gendt Thomas;
;;Cataldo Dario;
;2;De Marchi Alessandro;
;;Verona Carlos;
;;Padun Mark;
;;Caruso Damiano;
;;Vuillermoz Alexis;
;;Navarro Daniel;
;;Grmay Tsgabu;
;;Woods Michael;
;;Guerreiro Ruben;
;;Lopez David;
;;Geoghegan Hart Tao;
;3;Juul-Jensen Christopher;
;;De Gendt Thomas;
;;Sivakov Pavel;
;;King Ben;
;;Smit Willie;
;;Bagues Aritz;
;;Irisarri Jon;
;;Canty Brendan;
;5;Mccarthy Jay;
;;Albasini Michael;
;;Latour Pierre;
;;Fraile Omar;
;;Herrada Jose;
;;Padun Mark;
;;Verona Carlos;
;;Howes Alex;
;;Castroviejo Jonathan;
;;Van Der Sande Tosh;
;;Hindley Jai;
;;Teklehaimanot Daniel;
;;Rojas Jose Joaquin;
;;Bono Matteo;
;6;Cavagna Remi;
;;Verona Carlos;
;;Geoghegan Hart Tao;
;;Hansen Jesper;
;;Muhlberger Gregor;
;;Rojas Jose Joaquin;
;;Mas Enric;
;;De Gendt Thomas;
;;Betancur Carlos;
;;Hamilton Lucas;
;;Lopez David;
;;Madouas Valentin;
;;Izagirre Gorka;
;;Herrada Jose;
;;Zakarin Ilnur;
volta-ciclista-a-catalunya-2018;1;Bohli Tom;race/volta-a-catalunya/2018
;;Turek Daniel;
;;Ezquerra Jesus;
;;Molina Antonio;
;;Grivko Andrey;
;2;Merino Igor;
;;Molina Antonio;
;;Bizkarra Mikel;
;;Grivko Andrey;
;3;De Gendt Thomas;
;;Mas Lluis;
;;Chevrier Clement;
;;Torres Pablo;
;;Bizkarra Mikel;
;4;Chaves Esteban;
;;Rosskopf Joey;
;;Skujins Toms;
;;Rossetto Stephane;
;5;Monfort Maxime;
;;Wyss Danilo;
;;Pantano Jarlinson;
;;Didier Laurent;
;;Bidard Francois;
;;Laengen Vegard Stake;
;;Visconti Giovanni;
;;Agnilo Valerio;
;;Chernetskiy Sergey;
;;Simon Jordi;
;;Molina Antonio;
;;Bol Jetse;
;6;Rubio Diego;
;;Schachmann Maximilian;
;7;Mohoric Matej;
;;Narvaez Jhonatan;
;;Rolland Pierre;
;;Smit Willie;
;;Torres Pablo;
;;Schultz Nick;
;;Impey Daryl;
;;Tankink Bram;
;;Frohlinger Johannes;
paris-nice-2018;1;Roelandts Jurgen;race/paris-nice/2018
;;Perichon Pierre-Luc;
;;Rolland Pierre;
;2;Boom Lars;
;;Naesen Oliver;
;;De Gendt Thomas;
;;Machado Tiago;
;;Boaro Manuele;
;;Delaplace Anthony;
;3;Grellier Fabien;
;;Thomson Jay Robert;
;;KASPERKIEWICZ Przemys?aw;
;5;Edet Nicolas;
;;Cousin Jerome;
;;El Fares Julien;
;;Politt Nils;
;6;Moinard Amael;
;;Lemoine Cyril;
;;Scully Tom;
;;Grellier Fabien;
;;De Gendt Thomas;
;;Barbero Carlos;
;;Teuns Dylan;
;;Kristoff Alexander;
;;Demare Arnaud;
;;Politt Nils;
;;Bak Lars Ytting;
;;Van Lerberghe Bert;
;;Martens Paul;
;7;De Gendt Thomas;
;;Sutherland Rory;
;;Gallopin Tony;
;;De Marchi Alessandro;
;;Roche Nicolas;
;;Pantano Jarlinson;
;;Moinard Amael;
;;Herrada Jesus;
tirreno-adriatico-2018;2;Foliforov Alexander;race/tirreno-adriatico/2018
;;Sagiv Guy;
;;Bagioli Nicola;
;;Mosca Jacopo;
;3;Bagioli Nicola;
;;Van Winden Dennis;
;;Mosca Jacopo;
;;Hatsuyama Sho;
;;Kurianov Stepan;
;4;Bagioli Nicola;
;;Mosca Jacopo;
;;Neilands Krists;
;;Vlasov Aleksandr;
;;Pedersen Mads;
;;Duchesne Antoine;
;5;Cataldo Dario;
;;Keisse Iljo;
;;Koren Kristijan;
;;Morabito Steve;
;;Boev Igor;
;6;Mosca Jacopo;
;;Burghardt Marcus;
;;Neilands Krists;
;;Nych Artem;
tour-de-romandie-2018;1;Gougeard Alexis;race/tour-de-romandie/2018
;;Clarke Will;
;;Duchesne Antoine;
;;Minnaard Marco;
;;Mertz Remy;
;2;Grivko Andrey;
;;Fabbro Matteo;
;;Brown Nathan;
;;Campenaerts Victor;
;;De Gendt Thomas;
;4;Carthy Hugh;
;;De Gendt Thomas;
;;Pernsteiner Hermann;
;;Amador Andrey;
;;Nieve Mikel;
;5;Verona Carlos;
;;Gougeard Alexis;
;;Storer Michael;
;;Sivakov Pavel;
;;Quintana Dayer;
;;Anacona Winner;
tour-of-the-alps-2018;1;Berhane Natnael;race/tour-of-the-alps/2018
;;Ballerini Davide;
;;Eenkhoorn Pascal;
;;Rybalkin Aleksey;
;;Krizek Matthias;
;;Bou Joan;
;;Friedrich Marco;
;;Turrin Alex;
;;Saramotins Aleksejs;
;2;Jauregui Quentin;
;;Rabitsch Stephen;
;;Goldstein Omer;
;;Mosca Jacopo;
;;Frapporti Marco;
;;Rodriguez Oscar;
;3;Montaguti Matteo;
;;Rabitsch Stephen;
;;Visconti Giovanni;
;;Senni Manuel;
;4;Hermans Ben;
;;Dupont Hubert;
;;Villella Davide;
;;De La Cruz David;
;;Meintjes Louis;
;;Bizkarra Mikel;
;;Durasek Kristijan;
;;Padun Mark;
;;Gro?Schartner Felix;
;5;Bidard Francois;
;;Bagioli Nicola;
;;Gavazzi Francesco;
;;Senni Manuel;
;;Niv Guy;
;;Rodriguez Oscar;
;;Anton Igor;
;;Andreetta Simone;
tour-of-california-2018;1;Putt Tanner;race/tour-of-california/2018
;;Krasilnikau Andrei;
;2;De Vos Adam;
;;Clarke Jonathan;
;;Companioni Ruben;
;3;Carpenter Robin;
;;Garrison Ian;
;;Huffman Evan;
;5;Vandenbergh Stijn;
;;Companioni Ruben;
;;Putt Tanner;
;;Lienhard Fabian;
;;Rice Michael;
;6;Skujins Toms;
;;Craddock Lawson;
;;Bennett Sean;
;;De Tier Floris;
;;Slagter Tom-Jelte;
;;Rast Gregory;
;;Huffman Evan;
;;Cosnefroy Benoit;
;;Tvetcov Serghei;
;7;Bjerg Mikkel;
;;Powless Neilson;
;;Clarke Jonathan;
;;De Vos Adam;
NA;1;Planet Charles;race/abu-dhabi-tour/2018
;;Caruso Damiano;
;;Skujins Toms;
;;Albanese Vincenzo;
;;Trusov Nikolay;
;2;Venter Jaco;
;;Tonelli Alessandro;
;;Rosskopf Joey;
;;Planet Charles;
;;Porsev Alexander;
;3;Rolland Pierre;
;;Brand Sam;
;;Firsanov Sergey;
;;Maronese Marco;
;5;Greipel Andre;
;;Craddock Lawson;
;;Trusov Nikolay;
;;Bonifazio Niccolo;
;;Barbier Rudy;
;;Frison Frederik;
;;Henttala Joonas;
;;Brandle Matthias;
;;Bresciani Michael;
NA;1;Ourselin Paul;race/vuelta-a-la-comunidad-valenciana/2018
;;Salas Ibai;
;;Gallego Jose Diaz;
;;Mancebo Francisco;
;2;Bravo Garikoitz;
;;Van Gompel Mathias;
;;Nauleau Bryan;
;;Rubio Jesus Alberto;
;;Insausti Jon Ander;
;4;Kiryienka Vasul;
;;Hollenstein Reto;
;;Rodriguez Cristian;
;;Saez Hector;
;;Van Hecke Preben;
;;Insausti Jon Ander;
;5;Kwiatkowski Michal;
;;Kung Stefan;
;;Novak Domen;
;;Taaramae Rein;
;;Sprengers Thomas;
;;Tratnik Jan;
NA;1;Dillier Silvan;race/ruta-del-sol/2018
;;Bravo Garikoitz;
;;Sicard Romain;
;;Juaristi Txomin;
;;Mas Lluis;
;2;KasPERKIEWICZ Przemys?aw;
;;Gougeard Alexis;
;;Cuadros Alvaro;
;;Hatsuyama Sho;
;;Eenkhoorn Pascal;
;;Meijers Jeroen;
;;Werwilst Aaron;
;;Sanz Enrique;
;;Rubio Diego;
;3;Minnaard Marco;
;;Cuadros Alvaro;
;;Saez Hector;
;;Cabedo Oscar;
;4;Martin Guillaume;
;;Minnaard Marco;
;;Carretero Hector;
;;Vanmarcke Sep;
;;Amador Andrey;
NA;2;Torres Pablo;race/vuelta-a-espana/2018
;;Gougeard Alexis;
;;Rolland Pierre;
;;De Gendt Thomas;
;;Lastra Jonathan;
;;Mate Luis Angel;
;;Saez Hector;
;3;Peters Nans;
;;Rolland Pierre;
;;Simon Jordi;
;;Molina Antonio;
;;Mate Luis Angel;
;;Saez Hector;
;4;Mate Luis Angel;
;;Rolland Pierre;
;;Boom Lars;
;;King Ben;
;;Stalnov Nikita;
;;Gastauer Ben;
;;Bagues Aritz;
;;Cabedo Oscar;
;;Wallays Jelle;
;5;De Tier Floris;
;;Conti Valerio;
;;Rossetto Stephane;
;;De Marchi Alessandro;
;;Postlberger Lukas;
;;Molard Rudy;
;;Monfort Maxime;
;;Trentin Matteo;
;;Mollema Bauke;
;;Kuss Sepp;
;;Bookwalter Brent;
;;Amador Andrey;
;;Lastra Jonathan;
;;Brambilla Gianluca;
;;Villella Davide;
;;Geniez Alexandre;
;;Pernsteiner Hermann;
;;Pellizotti Franco;
;;Iturria Mikel;
;;Hindley Jai;
;;Mendes Jose;
;;Clarke Simon;
;;Kudus Merhawi;
;;Lammertink Maurits;
;;Kochetkov Pavel;
;6;Porte Richie;
;;Mate Luis Angel;
;;Cubero Jorge;
;7;Gougeard Alexis;
;;Woods Michael;
;;De Tier Floris;
;;Conci Nicola;
;;Ravasi Edward;
;;Aranburu Alex;
;;Rodriguez Oscar;
;8;Machado Tiago;
;;Cubero Jorge;
;;Saez Hector;
;9;Mate Luis Angel;
;;Mollema Bauke;
;;De Gendt Thomas;
;;Teuns Dylan;
;;King Ben;
;;Ezquerra Jesus;
;;Vanbilsen Kenneth;
;;Leezer Tom;
;;Bagues Aritz;
;;Hollenstein Reto;
;;Mas Lluis;
;10;Ezquerra Jesus;
;;Machado Tiago;
;11;Pellizotti Franco;
;;Geniez Alexandre;
;;De Marchi Alessandro;
;;Henao Sergio;
;;Mollema Bauke;
;;Majka Rafal;
;;Pinot Thibaut;
;;Benoot Tiesj;
;;Haig Jack;
;;Peters Nans;
;;Fraile Omar;
;;Roche Nicolas;
;;Teuns Dylan;
;;Anacona Winner;
;;Gibbons Ryan;
;;Rolland Pierre;
;;Restrepo Jhonatan;
;;Vincent Leo;
;;Pardilla Sergio;
;;Bizkarra Mikel;
;12;Nibali Vincenzo;
;;De Gendt Thomas;
;;Devenyns Dries;
;;Campenaerts Victor;
;;Formolo Davide;
;;Conti Valerio;
;;Padun Mark;
;;Van Baarle Dylan;
;;Teuns Dylan;
;;Geniez Alexandre;
;;Ghebreigzabhier Amanuel;
;;Machado Tiago;
;;Brambilla Gianluca;
;;Torres Pablo;
;;Lastra Jonathan;
;;Mas Lluis;
;;Herrada Jesus;
;;Bizkarra Mikel;
;13;De Gendt Thomas;
;;Majka Rafal;
;;Mollema Bauke;
;;Zakarin Ilnur;
;;Henao Sergio;
;;King Ben;
;;Izagirre Gorka;
;;Teuns Dylan;
;;Armee Sander;
;;De Plus Laurens;
;;Mate Luis Angel;
;;Rodriguez Oscar;
;;Kudus Merhawi;
;;Serry Pieter;
;;Ravasi Edward;
;;Lambrecht Bjorg;
;;Monfort Maxime;
;;Rosskopf Joey;
;;Prades Eduard;
;;Felline Fabio;
;;Aranburu Alex;
;;Rodriguez Cristian;
;;Gastauer Ben;
;;Burghardt Marcus;
;;Mccarthy Jay;
;;Erviti Imanol;
;;Restrepo Jhonatan;
;;Conci Nicola;
;;Bol Jetse;
;;Bravo Garikoitz;
;;Van Der Sande Tosh;
;;Hindley Jai;
;14;Roche Nicolas;
;;Kwiatkowski Michal;
;;De Marchi Alessandro;
;;De Gendt Thomas;
;;Woods Michael;
;;Garcia Cortina Ivan;
;15;Mollema Bauke;
;;King Ben;
;;Bennett George;
;;Van Poppel Danny;
;;Geoghegan Hart Tao;
;;Garcia Cortina Ivan;
;;Erviti Imanol;
;;Rolland Pierre;
;;Felline Fabio;
;;Conti Valerio;
;;Schultz Nick;
;;Roche Nicolas;
;17;De Gendt Thomas;
;;Mollema Bauke;
;;Majka Rafal;
;;Nibali Vincenzo;
;;De Marchi Alessandro;
;;Clarke Simon;
;;Zakarin Ilnur;
;;Geniez Alexandre;
;;Woods Michael;
;;De La Cruz David;
;;Fraile Omar;
;;Postlberger Lukas;
;;Amador Andrey;
;;Ghebreigzabhier Amanuel;
;;Castroviejo Jonathan;
;;Hindley Jai;
;;Rodriguez Cristian;
;;Herrada Jesus;
;;Rossetto Stephane;
;;Saez Hector;
;;Serry Pieter;
;;Pellizotti Franco;
;;Kudus Merhawi;
;;Conti Valerio;
;;Mendes Jose;
;;Teuns Dylan;
;18;Wallays Jelle;
;;Bol Jetse;
;;Bystrom Sven Erik;
;19;Thomas Benjamin;
;;Castroviejo Jonathan;
;20;De Gendt Thomas;
;;Mollema Bauke;
;;Nibali Vincenzo;
;;Oliveira Nelson;
;;Kwiatkowski Michal;
;;Cataldo Dario;
;;Herrada Jesus;
;;De La Cruz David;
;;Izagirre Gorka;
;;Fraile Omar;
;;Roche Nicolas;
;;Majka Rafal;
;;Ghebreigzabhier Amanuel;
;;Herrada Jose;
;;Woods Michael;
;;Anacona Winner;
;;Rolland Pierre;
;;Zakarin Ilnur;
;;Aru Fabio;
;;Hindley Jai;
;21;Machado Tiago;
;;Rossetto Stephane;
;;Iturria Mikel;
;;Chetout Loic;
;;De Marchi Alessandro;
;;Bol Jetse;
;;Rubio Diego;
;;Stalnov Nikita;
;;Rosskopf Joey;
;;Bravo Garikoitz;
NA;1;Clarke Will;race/tour-down-under/2018
;;Dlamini Nic;
;;Bowden Scott;
;2;Dlamini Nic;
;;Castrillo Jaime;
;;Clarke Will;
;;Bowden Scott;
;3;Bowden Scott;
;;Dlamini Nic;
;4;Dempster Zak;
;;Porter Alexander;
;5;De Gendt Thomas;
;;Bowden Scott;
;;Wurtz Schmidt Mads;
;;Dlamini Nic;
;;Dempster Zak;
;;Beppu Fumiyuki;
;;Bico Nuno;
;6;O'connor Ben;
;;Owen Logan;
NA;1;Boaro Manuele;race/benelux-tour/2018
;;Van Den Berg Julius;
;;De Bondt Dries;
;;Peyskens Dimitri;
;;Sprengers Thomas;
;;Reinders Elmar;
;3;Mohoric Matej;
;;Van Der Hoorn Taco;
;;Asselman Jesper;
;;Vantomme Maxime;
;;De Bie Sean;
;4;Sprengers Thomas;
;;Reinders Elmar;
;;Spengler Lukas;
;5;Gougeard Alexis;
;;Cort Magnus;
;;Van Den Berg Julius;
;;Rickaert Jonas;
;6;Backaert Frederik;
;;Brandle Matthias;
;;Van Der Lijcke Nick;
;;Gougeard Alexis;
;7;De Vreese Laurens;
;;Irizar Markel;
;;Rickaert Jonas;
;;Reinders Elmar;
;;Van Keirsbulck Guillaume;
;;De Winter Ludwig;
;;Groenewegen Dylan;
NA;1;AL MANSOORI Mohammed Yousif;race/dubai-tour/2018
;;Van Hooydonck Nathan;
;;Fenn Andrew;
;;Planet Charles;
;;Teklehaimanot Daniel;
;2;Van Hooydonck Nathan;
;;Edet Nicolas;
;;Fuwen Xue;
;;Al MANSOORI Mohammed Yousif;
;;Planet Charles;
;;Mirza Mohamed Yousef;
;3;Christian Mark;
;;Vliegen Loic;
;;Valognes Quentin;
;;Bevilacqua Simone;
;4;Bevilacqua Simone;
;;Mcnulty Brandon;
;;Williams Christopher;
;;Dunne Conor;
;;Carpenter Robin;
;;Sun Xiaolong;
;5;Valognes Quentin;
;;Sun Xiaolong;
;;Pearson Daniel;
;;Almemari Nasser;
NA;1;Dlamini Nic;race/tour-of-britain/2018
;;Moses Thomas;
;;Townsend Rory;
;;Handley Richard;
;;Downey Mark;
;;Bostock Matthew;
;2;Davies Scott;
;;Meyer Cameron;
;;Tonelli Alessandro;
;;Teggart Matthew;
;;Rowsell Erick;
;3;Greipel Andre;
;;Eenkhoorn Pascal;
;;Cardis Romain;
;;Strakhov Dmitry;
;;Fernandez Ruben;
;;Keisse Iljo;
;4;Holmes Matthew;
;;Mccormick Hayden;
;;Moses Thomas;
;;Dlamini Nic;
;;Ourselin Paul;
;;Paton Alex;
;6;Martin Tony;
;;Shaw James;
;;Swift Connor;
;;Kiryienka Vasil;
;7;Stannard Ian;
;;Politt Nils;
;;Mcnally Mark;
;;Carboni Giovanni;
;;Paton Alex;
etoile-de-bessges-2018;1;Menten Milan;race/etoile-de-besseges/2018
;;Dieleman Michel;
;;Bagues Aritz;
;2;Combaud Romain;
;;Van Staeyen Michael;
;;Cabot Jeremy;
;;Turgis Jimmy;
;;Idjouadiene Pierre;
;;Gabburo Davide;
;;Van Gestel Dries;
;;Le Cunff Kevin;
;3;Hivert Jonathan;
;;Cosnefroy Benoit;
;;Kasperkiewicz Przemyslaw;
;;Marchand Gianni;
;;Di Gregorio Remy;
;4;Di Gregorio Remy;
;;Devriendt Tom;
;;Antomarchi Julien;
;;Marchand Gianni;
tour-de-pologne-2018;1;De Marchi Alessandro;race/tour-de-pologne/2018
;;Rossetto Stephane;
;;Paluta Michal;
;;Podlaski Michal;
;2;Shalunov Evgeny;
;;Stachowiak Adam;
;;Gradek Kamil;
;3;Le Turnier Mathias;
;;Paluta Michal;
;;Foliforov Alexander;
;;Biermans Jenthe;
;4;Tratnik Jan;
;;Rutkiewicz Marek;
;;Van Lerberghe Bert;
;5;Delage Mickael;
;;Bizhigitov Zhandos;
;;Biermans Jenthe;
;;Zielinski Kamil;
;;Porsev Alexander;
;;Tratnik Jan;
;;Le Turnier Mathias;
;6;Peters Nans;
;;Vervaeke Louis;
;;Costa Rui;
;;Restrepo Jhonatan;
;;Owsian Lukasz;
;;Agnoli Valerio;
;;Bennett George;
;;Konrad Patrick;
;;Verona Carlos;
;7;Paterski Maciej;
;;Konrad Patrick;
;;Cherel Mikael;
;;Kreuziger Roman;
;;Lutsenko Alexey;
;;Verona Carlos;
;;Conti Valerio;
;;Restrepo Jhonatan;
;;Bakelants Jan;
;;Padun Mark;
;;Bole Grega;
;;Herrada Jose;
tour-of-oman-2018;1;Dunne Conor;race/tour-of-oman/2018
;;Perichon Pierre-Luc;
;;Van Goethem Brian;
;;Farazijn Maxime;
;2;Irizar Markel;
;;Ferrari Fabricio;
;;Chetout Loic;
;;Pate Danny;
;3;Chetout Loic;
;;Meurisse Xandro;
;;Wippert Wouter;
;;Schultz Nick;
;4;Chetout Loic;
;;Janse Van Rensburg Jacques;
;;Weening Pieter;
;;Pedersen Casper;
;;Irisarri Jon;
;;Cavagna Remi;
;5;Marcato Marco;
;;Schultz Nick;
;;Ligthart Pim;
;;Declercq Benjamin;
;;De Vos Adam;
;;Carpenter Robin;
;6;Cavagna Remi;
;;Farazijn Maxime;
;;Ferrari Fabricio;
;;Ligthart Pim;
;;Meurisse Xandro;
volta-ao-algarve-em-bicicleta-2018;1;Almeida Nuno;race/volta-ao-algarve/2018
;;Livramento David;
;;Afonso Luis;
;;Zabala Josu;
;;Rodrigues Joao;
;2;King Ben;
;;Postlberger Lukas;
;;Lampaert Yves;
;;Pelegri Oscar;
;;Mestre Ricardo;
;;Jurado Marcos;
;;Degenkolb John;
;4;King Ben;
;;Silva Bruno;
;;Grigorev Aleksandr;
;;Rodrigues Joao;
;;Amezqueta Julen;
;;Sutherland Rory;
;5;Martin Tony;
;;Stybar Zdenek;
;;Gilbert Philippe;
;;Kwiatkowski Michal;
;;Anton Igor;
;;Wallays Jelle;
;;Dupont Timothy;
;;Guerreiro Ruben;
;;Roelandts Jurgen;
;;Claeys Dmitri;
;;Postlberger Lukas;
